,,f1 - NS,f1 - SS,f1 - MM,f1 - MA,f1 - RS,f1 - QT,gmean - NS,gmean - SS,gmean - MM,gmean - MA,gmean - RS,gmean - QT
RF - means,means,0.58,0.58,0.58,0.58,0.58,0.58,0.62,0.62,0.62,0.62,0.62,0.62
RF- Total wins,Total wins,11.90,13.07,10.90,12.40,12.37,21.37,10.87,14.03,10.87,13.37,12.33,20.53
XGBoost - means,means,0.61,0.60,0.61,0.61,0.61,0.60,0.67,0.67,0.67,0.67,0.67,0.66
XGBoost- Total wins,Total wins,12.10,13.65,13.27,13.27,12.02,17.70,12.10,13.65,13.27,13.27,12.02,17.70
AdaBoost - means,means,0.59,0.59,0.59,0.59,0.59,0.60,0.67,0.67,0.67,0.67,0.67,0.67
AdaBoost- Total wins,Total wins,12.72,15.17,11.00,11.50,14.00,17.62,12.72,15.17,11.00,11.50,14.00,17.62
Bagging - means,means,0.40,0.58,0.52,0.49,0.54,0.55,0.46,0.64,0.57,0.54,0.61,0.61
Bagging- Total wins,Total wins,5.62,27.98,8.32,6.32,17.07,16.70,5.62,30.23,5.57,5.07,20.82,14.70
OLA - means,means,0.55,0.62,0.61,0.59,0.60,0.62,0.62,0.72,0.69,0.67,0.70,0.72
OLA- Total wins,Total wins,17.53,14.03,16.50,8.20,9.87,15.87,17.53,14.03,11.50,9.20,12.87,16.87
LCA - means,means,0.41,0.51,0.48,0.44,0.49,0.49,0.47,0.58,0.55,0.50,0.56,0.57
LCA- Total wins,Total wins,5.25,21.33,10.92,7.50,20.25,16.75,6.25,17.33,7.92,9.50,20.25,20.75
MCB - means,means,0.55,0.61,0.61,0.60,0.60,0.61,0.62,0.71,0.69,0.67,0.70,0.71
MCB- Total wins,Total wins,10.28,14.78,17.12,18.87,6.62,14.33,10.03,17.87,16.20,13.87,5.70,18.33
KNORAE - means,means,0.60,0.63,0.63,0.62,0.63,0.63,0.69,0.72,0.72,0.71,0.72,0.73
KNORAE- Total wins,Total wins,17.33,10.87,17.87,5.87,10.87,19.20,18.33,13.87,14.87,8.87,9.87,16.20
KNORAU - means,means,0.49,0.59,0.55,0.52,0.57,0.57,0.55,0.65,0.60,0.57,0.63,0.64
KNORAU- Total wins,Total wins,8.20,24.23,8.90,7.57,16.40,16.70,8.70,26.73,6.40,4.57,17.90,17.70
Overall mean,,0.53,0.59,0.57,0.56,0.58,0.58,0.60,0.66,0.64,0.62,0.65,0.66
Overall sum of wins,,100.93,155.12,114.78,91.48,119.45,156.23,102.15,162.92,97.58,89.20,125.75,160.40
