a1,a2,a3,a4,a5,a6,a7,class
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, negative
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, negative
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, negative
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, negative
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, negative
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, negative
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, negative
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, negative
44.0, 28.0, 48.0, 5.0, 43.0, 27.0, 37.0, negative
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, negative
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, negative
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, negative
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, negative
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, negative
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, negative
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, negative
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, negative
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, negative
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, negative
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, negative
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, negative
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, negative
7.0, 61.0, 48.0, 5.0, 56.0, 52.0, 43.0, negative
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, negative
67.0, 81.0, 48.0, 5.0, 54.0, 49.0, 23.0, negative
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, negative
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, negative
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, negative
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, negative
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, negative
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, negative
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, negative
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, negative
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, negative
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, positive
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, positive
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, positive
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, positive
